time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,heading
12987940.0,-0.04,0.1,-1.01,0.3,1.71,0.49,86.12,137.43,-28.36,0.0199,0.5216,0.8518,0.0432,32.07
12987952.0,-0.0,0.09,-0.99,0.12,2.01,0.55,85.37,136.08,-27.61,0.0199,0.5217,0.8518,0.0432,32.1
12987964.0,0.02,0.09,-0.98,0.06,2.01,0.37,86.12,136.08,-28.66,0.0199,0.5217,0.8518,0.0432,32.33
12987976.0,0.03,0.1,0.02,-480.43,521.16,-955.73,85.37,137.13,-28.66,0.0199,0.5217,0.8518,0.0431,31.9
12987988.0,-0.02,0.11,-0.97,0.06,0.85,0.43,85.52,137.28,-28.21,0.02,0.5217,0.8518,0.0432,31.92
12988000.0,-0.06,0.1,-1.0,0.18,0.67,0.37,85.82,136.83,-29.11,0.0199,0.5218,0.8518,0.0432,32.1
12988012.0,-0.06,0.1,-0.98,0.24,0.73,0.37,87.02,137.73,-28.51,0.0199,0.5218,0.8517,0.0432,32.29
12988024.0,-0.06,0.09,-0.99,0.18,1.34,0.49,85.52,137.28,-28.81,0.0199,0.5218,0.8517,0.0433,31.92
12988036.0,-0.05,0.1,1.1,782.5,1594.63,877.44,85.82,137.43,-28.36,0.0199,0.5218,0.8517,0.0433,31.98
12988049.0,0.02,0.09,-1.0,0.0,2.01,0.49,86.12,137.43,-27.31,0.0199,0.5219,0.8517,0.0432,32.07
12988060.0,0.03,0.1,-0.98,0.06,1.77,0.37,87.02,136.53,-27.46,0.0199,0.5219,0.8517,0.0432,32.51
12988072.0,0.0,0.11,-0.97,0.0,1.34,0.37,86.27,136.23,-28.51,0.0199,0.5219,0.8517,0.0432,32.34
12988084.0,-0.02,0.11,-0.98,0.06,0.91,0.3,86.12,136.83,-27.31,0.0199,0.5219,0.8517,0.0432,32.19
12988096.0,-0.04,0.1,0.0,610.61,521.46,1699.57,85.37,136.38,-29.71,0.0199,0.522,0.8516,0.0432,32.05
12988109.0,-0.07,0.1,-1.02,0.18,0.91,0.37,85.07,136.38,-27.61,0.0199,0.522,0.8516,0.0432,31.95
12988121.0,-0.06,0.09,-1.03,0.18,1.52,0.3,85.82,137.43,-29.41,0.0199,0.522,0.8516,0.0432,31.98
12988133.0,-0.02,0.09,-1.02,0.18,1.83,0.55,85.22,138.33,-26.86,0.0199,0.5221,0.8516,0.0432,31.64
12988144.0,0.01,0.1,-1.01,0.18,2.01,0.37,86.87,137.13,-28.06,0.02,0.5221,0.8516,0.0431,32.35
12988156.0,0.02,0.09,0.02,593.17,521.59,1838.78,86.87,136.38,-26.56,0.02,0.5221,0.8516,0.0431,32.5
12988169.0,-0.0,0.1,-0.97,0.0,0.91,0.24,86.27,137.28,-27.76,0.02,0.5221,0.8515,0.043,32.15
12988180.0,-0.03,0.1,-1.0,0.06,0.55,0.24,87.32,136.98,-28.81,0.0201,0.5222,0.8515,0.043,32.52
12988192.0,-0.06,0.09,-1.0,0.18,0.67,0.24,86.72,136.98,-28.51,0.02,0.5222,0.8515,0.043,32.34
12988204.0,-0.07,0.1,-1.01,0.18,0.91,0.37,86.72,136.23,-28.81,0.02,0.5222,0.8515,0.0431,32.48
12988216.0,-0.06,0.09,-1.03,19.94,-1158.23,521.71,85.52,137.73,-28.51,0.02,0.5222,0.8515,0.0431,31.84
12988229.0,0.01,0.1,-1.0,0.18,2.01,0.49,86.42,136.38,-29.41,0.02,0.5223,0.8515,0.043,32.36
